hebrew,count,english_translation
את,12395,The
של,11078,of
לא,10358,not
על,8346,on
זה,5888,this
הוא,4897,he
גם,4844,also
אני,4721,I
אם,3395,if
יש,3374,there is
היא,2851,she
עם,2732,with
כל,2704,all
או,2430,or
היה,2412,Was
אבל,2254,but
מה,2225,what
יותר,2092,more
אין,1928,nothing
לי,1927,me
למחוק,1870,delete
הערך,1729,The value
רק,1704,only
זו,1702,this
כך,1518,so
כי,1503,that
האם,1443,Does
צריך,1432,must
זאת,1359,this
אתה,1357,you
הם,1355,they
אפשר,1353,Allow
ב,1327,on
אותו,1311,him
בין,1284,between
כמו,1279,like
אחד,1200,one
שם,1186,name
לאחר,1178,after
ערך,1171,value
ולא,1132,And not
עוד,1131,more
להיות,1106,be
הזה,1041,this
בכל,1040,In each
שלא,1009,Not
עד,1006,to
אז,1001,then
כן,992,yes
כדי,952,To
אך,942,but
לו,920,him
כבר,918,already
לך,902,to you
בערך,899,about
היו,897,Were
ל,888,to
ג,883,third
שיש,882,marble
כאן,877,here
אולי,867,perhaps
הייתה,865,Was
למצוא,849,find
קישורים,838,Links
ישראל,830,Israel
חיצוניים,825,External
שלי,824,my
יכול,820,Can
פחות,819,less
חושב,807,thinking
ניתן,801,Given
מאוד,794,very
כמה,792,some
שהוא,785,That is
אל,765,to
אותה,750,her
בו,734,In it
דבר,711,thing
ידי,708,By
חשוב,697,important
לפני,696,before
שלו,685,his
מספר,673,number
אחר,672,other
שני,652,other
לגבי,625,As for
בית,619,house
ויקיפדיה,619,Wikipedia
ערכים,618,Values
זמן,609,time
פה,606,here
הרבה,605,many
אף,605,even
ביותר,604,most
אחרי,600,after
קצת,594,some
נראה,588,visible
לכל,587,per
רבים,584,many
באופן,578,In a way
ללא,573,without
לעשות,571,do
מי,568,who
יהיה,558,Will
איך,554,how
למה,553,why
חלק,549,part
שזה,549,That is
טוב,546,good
אלא,545,but
אחת,542,one
אלה,521,these
לפי,513,according to
לערך,511,approximately
אותם,501,them
דרך,499,way
לדעתי,499,in my opinion
היום,496,today
ראו,496,See
שאני,495,That I
עדיין,493,Yet
לכתוב,487,write
אחרים,486,Others
רוצה,486,Would like to
אינו,477,Is not
אנחנו,469,we
אלו,468,These
פעם,464,time
פשוט,463,simple
משהו,462,something
לה,461,her
ה,459,the
בן,459,son
אחרת,455,otherwise
הספר,452,The book
הראשון,451,First
שלך,450,your
לכך,444,This
יום,443,day
שנים,435,Years
שנה,431,year
להוסיף,431,add
בה,429,In it
אנשים,429,people
וגם,428,also
העולם,428,The world
שוב,426,again
הברית,423,Covenant
מקום,422,place
לנו,421,us
עכשיו,419,now
הן,419,they
כזה,418,such
במקום,416,instead of
אדם,416,person
בדף,415,On the page
בלי,412,without
לכן,411,so
מידע,406,information
חשיבות,405,importance
באתר,404,On the site
ואני,403,And i
העיר,401,The city
חיים,400,life
חדש,397,new
בנושא,396,On the subject
יודע,395,knowing
אותי,393,me
אי,392,non
להם,390,them
עליו,389,On him
תמיד,388,always
בבית,383,At home
כ,380,about
שום,376,garlic
מדובר,376,spoken
המשפט,373,Trial
בישראל,372,In Israel
דברים,371,stuff
ההצעה,370,The proposal
פי,369,times
שלה,367,its
נגד,367,against
מן,366,from
לראות,359,see
אפילו,359,even
בני,358,Sons
כאשר,357,when
מדי,355,every
איזה,353,what
ר,353,R
עצמו,351,himself
גדול,350,large
באמת,348,really
שתי,347,warp
מבחינה,346,A way out
חדשים,345,New
בדיוק,343,exactly
נכון,342,right
שאין,341,That is not
ממש,339,really
כלל,337,rule
הייתי,337,I was
במהלך,336,during
דף,335,page
רב,331,multi
שהיא,330,Which is
הזו,330,This
קשה,329,difficult
בלבד,329,only
השיחה,329,The conversation
הרב,328,The rabbi
שאתה,327,You
י,326,Y
צ,324,T.
למשל,324,for example
הראשונה,324,First
אינה,323,Not
כמובן,322,of course
מספיק,320,enough
כפי,319,as
בעולם,318,In the world
כיום,318,currently
תבנית,318,pattern
בכלל,316,at all
ואז,316,Then
מכן,316,Then
אגב,316,incidentally
רבות,312,Many
מישהו,311,someone
המדינה,310,The state
נוסף,309,additional
בנוסף,308,In addition
המשחק,308,The game
אתר,308,site
תוכל,307,You can
שלהם,304,their
ו,303,and
שלנו,302,our
כמעט,301,almost
נמחק,301,Deleted
א,299,A
תמונות,299,Photos
כדאי,298,worthwhile
ספר,297,book
הערכים,297,The values
צורך,297,need
מקרה,297,case
מדוע,296,why
חסר,295,short
ברור,295,clear
ראש,295,head
שלום,293,peace
שהם,292,They are
בהם,290,In them
הכי,290,most
התמונה,289,The picture
הזמן,288,Time
השני,287,The other
בשם,286,fragrance
לב,283,heart
והוא,282,And he
במקרה,282,In case
למרות,278,despite
לקבל,278,get
הכל,278,everything
מ,278,from
מבחינת,278,In terms of
זהו,276,this is
שימוש,276,Use
הרי,273,After all
בדרך,272,through
אשר,272,which
רוב,272,majority
בעיר,271,In the city
ילדים,270,children
רואה,270,seer
ד,270,D
אמר,269,saying
ראה,269,See
התכוונתם,269,You meant
מאז,268,since
מבחינתי,268,For me
מעט,267,few
נוספים,265,Additional
מהם,264,Them
ולכן,263,Therefore
בארץ,263,In the country
צריכה,262,consumption
בסדר,262,okay
אומר,262,Say
אולם,261,hall
אכן,260,indeed
משחק,260,play
נמצא,259,available
די,258,The
שונים,258,various
בגלל,257,because of
שהיה,257,That was
הזאת,254,this
אשמח,254,I would love
האלה,252,The goddess
עדיף,252,preferable
לתת,251,give
דיון,251,discussion
באותה,251,The same
כאלה,250,Such
עבור,250,for
ועוד,249,And more
שצריך,249,Needed
לפחות,248,at least
בתוך,248,within
באמצעות,248,through
השם,246,The name
ח,246,H
פרק,246,chapter
בעיקר,244,Mainly
חייב,244,Must
מזה,243,That
האתר,242,The site
במיוחד,241,especially
קיים,240,Exists
חברי,239,My friends
אביב,236,spring
להשתמש,234,use
המשפחה,233,Family
חופשי,233,free
מכל,232,tank
בסוף,231,in the end
מציע,231,Offers
תמונה,230,image
אתם,228,you
מערכת,227,system
השנייה,227,The other
בצורה,226,In a form
כתוב,226,written
בזמן,225,While
שינוי,225,Change
מתוך,225,of
חשובים,224,Are important
עוסק,224,practitioner
לשם,223,opal
דווקא,223,Precisely
היתה,223,Had
בכך,222,thereby
כרגע,221,Currently
עבודה,220,work
למעשה,220,actually
העברית,220,Hebrew
ניוטון,220,Newton
ימים,219,Days
יכולה,219,Can
מקור,218,source
גדולה,218,greatness
בויקיפדיה,218,Wikipedia
חבל,217,rope
שיחה,217,call
כנראה,216,probably
קודם,216,previous
ארצות,216,Countries
זכויות,216,Rights
כולם,215,everybody
וזה,215,And it
לזה,215,That
במשך,214,during
איש,214,man
המידע,214,The information
המלחמה,214,The war
שבו,213,Where
הכנסת,213,The introduction
שונות,212,variance
לדעת,211,know
נוספת,211,Another
תחת,210,under
תודה,210,thanks
בעל,210,husband
יחד,210,together
בעקבות,210,after
מול,209,opposite
הדף,209,blast
ש,208,that
מבין,208,Understand
הדבר,208,The thing
ראיתי,208,I have seen
שלושה,208,three
ואת,206,And
מלחמת,206,A war
בעיה,205,problem
אחרות,205,Others
ועל,204,And on
וחצי,204,Half
בקרב,204,among
חוק,204,law
אינם,203,Are not
העבודה,203,Work
מאד,200,Very
משפחה,200,family
שלוש,199,three
ראוי,199,worthy
הממשלה,199,The government
הבית,198,The house
סתם,198,mere
דומה,198,like
אופן,198,Way of
החל,197,Apply
התבנית,197,The pattern
מחדש,196,re
בשביל,196,for
טובה,196,favor
הדברים,196,Things
להגיע,195,reach
מצד,195,pillbox
בעלי,195,My husband
ויש,194,And there is
עושה,194,Makes
חומר,194,material
בשנת,193,In the year
הגדול,193,The biggest
הארץ,193,The land
בוויקיפדיה,193,In Wikipedia
ואם,192,And if
אצל,192,in
אנא,192,please
תוך,191,within
ככה,191,so
קשר,191,link
כתב,191,writing
זכה,191,Won
לבין,190,And to
סיבה,190,Cause
רבה,189,Great
הבעיה,189,The problem
כולל,189,including
חייבים,189,Must
באנגלית,189,In English
בראש,188,In the head
אליו,188,To him
בעברית,187,In Hebrew
נולד,187,born
קישור,187,Link
החברה,186,The company
בלתי,186,non
סוף,186,end
לשנות,186,change
משנה,186,sub
חוץ,185,outside
עניין,185,Interest
שאפשר,185,That can
פירושונים,185,Commentaries
חייו,184,His life
לקרוא,184,read
לחלוטין,184,completely
ממנו,184,from him
ביום,183,On the day
האדם,182,Man
צבא,182,army
בעבר,181,In the past
צריכים,181,Need
חבר,181,friend
הדיון,181,The discussion
החיים,180,Life
ככל,180,As far as
חדשות,180,news
קטן,179,small
ע,179,From
כללי,179,general
בטוח,178,insurance
חצי,178,half
קצר,178,short
