hebrew,count
לא,6845
את,6160
אֶת,6104
שֶׁל,5612
של,5455
על,4482
זה,4346
"""",4238
עַל,3795
גם,3582
אני,3397
לֹא,3330
הוא,2873
אם,2597
יש,2572
הוּא,1976
למחוק,1866
הערך,1723
אין,1516
כל,1501
היא,1499
עִם,1403
מה,1354
היה,1341
הִיא,1305
עם,1291
זו,1282
זֶה,1252
או,1239
האם,1237
צריך,1237
לי,1207
גַּם,1196
אבל,1181
אתה,1170
יותר,1161
כָּל,1152
אוֹ,1141
ערך,1135
אֲנִי,1102
אפשר,1097
רק,1060
הָיָה,1047
אֲבָל,1025
זאת,940
כִּי,931
בערך,865
שם,859
כך,848
קישורים,836
חיצוניים,822
חושב,762
ולא,748
אותו,746
למצוא,745
יֵשׁ,739
אִם,737
להיות,733
מָה,730
כן,724
עוד,721
לך,717
הם,712
-,706
לאחר,704
כמו,704
יוֹתֵר,697
בכל,690
אז,679
הזה,672
פחות,671
כאן,670
שיש,669
בין,662
אולי,655
כְּדֵי,634
רַק,628
לִי,620
ויקיפדיה,619
ב,617
בֵּין,616
הֵם,615
יכול,599
ערכים,598
אחד,593
ניתן,582
שלא,578
חשוב,569
לגבי,559
כְּמוֹ,551
–,543
עַד,542
כי,542
כָּךְ,534
פה,533
לערך,507
כבר,500
אֶחָד,479
לדעתי,478
אַךְ,477
מאוד,475
לְאַחַר,465
הייתה,462
ראו,457
אך,457
הָיוּ,453
לכתוב,450
עד,449
לוֹ,446
אוֹתוֹ,438
היו,435
שזה,431
כמה,427
דבר,427
שני,426
קצת,425
שהוא,423
למה,422
שֶׁלֹּא,416
נראה,414
כְּבָר,412
להוסיף,411
בדף,409
ישראל,408
מספר,400
לִפְנֵי,393
אֶל,392
ידי,392
הָיְיתָה,391
אחר,391
זמן,391
עוֹד,387
לו,386
חשיבות,384
לכל,382
וְלֹא,372
שלי,372
שלך,372
יהיה,371
אֵין,369
לעשות,367
ההצעה,362
בו,361
אותה,361
לפי,359
חלק,359
לִהְיוֹת,358
שֶׁהוּא,351
כַּמָּה,351
בית,348
אַחֲרֵי,347
ללא,346
אחרת,344
בְּכָל,343
הרבה,342
זוֹ,338
טוב,337
כזה,331
אינו,330
רבים,329
בנושא,328
פשוט,328
מי,327
חדש,326
לכן,325
עדיין,324
מידע,324
דף,324
ביותר,323
באתר,321
אף,318
אחרים,317
תבנית,316
כדי,313
איך,310
רוצה,310
השיחה,310
מבחינה,309
עכשיו,307
דרך,302
אלה,301
אלו,300
חדשים,299
לכך,299
נמחק,298
אגב,296
בּוֹ,295
באופן,295
לפני,289
איזה,289
שאתה,289
הערכים,287
הראשון,282
אל,281
אתר,279
יִשְׂרָאֵל,278
אַף,277
יְדֵי,276
אוֹתָהּ,275
תוכל,274
מקום,274
בְּאוֹפֶן,272
אחת,272
אלא,272
משהו,271
שום,271
התמונה,270
התכוונתם,269
שֶׁלִּי,268
תמונות,266
יודע,265
מדובר,264
אי,263
כדאי,262
אֶלָּא,261
מבחינתי,261
העיר,260
זֹאת,259
שוב,258
במקום,257
שנה,257
שאני,256
מקרה,256
אָז,252
דברים,251
מְאוֹד,249
חיים,248
מדוע,246
עליו,246
מישהו,246
כמובן,245
מבחינת,245
אחרי,243
שלו,242
חסר,242
שתי,242
לָהּ,241
צורך,241
אֶפְשָׁר,238
אשמח,238
וגם,237
נכון,237
בן,235
שאין,235
אותם,235
שֶׁאֲנִי,234
המשחק,234
בלי,234
שֶׁלּוֹ,233
היום,233
עדיף,233
הַרְבֵּה,232
דיון,232
בנוסף,232
פרק,232
הספר,231
מכן,228
אֲנַחְנוּ,227
אֵיךְ,224
הַזֶּה,224
הן,224
כיום,223
אינה,223
לְלֹא,222
העולם,222
ראה,222
שצריך,221
שֶׁהִיא,220
כלל,220
בכלל,220
פַּעַם,219
בדיוק,219
הזו,219
בויקיפדיה,218
רַבִּים,217
כַּאֲשֶׁר,217
ממש,216
הברית,215
בישראל,215
למשל,215
מציע,215
נִיתָּן,214
חופשי,214
יָכוֹל,213
מספיק,213
באמת,213
משחק,212
זהו,212
בלבד,212
לָהֶם,211
כתוב,211
אַחַת,210
יוֹם,210
עוסק,209
ואני,209
שיחה,209
בְּיוֹתֵר,208
במקרה,208
מִי,207
נוסף,207
בסדר,207
הראשונה,206
כרגע,206
השם,205
עצמו,204
שימוש,204
חבל,203
רואה,203
נוספים,202
חשובים,202
פעם,202
דָּבָר,201
להשתמש,201
אפילו,201
ברור,201
רב,201
הדף,200
אכן,200
תמיד,200
אנשים,199
פִּי,198
אֲנָשִׁים,198
