hebrew,count
את,12395
של,11078
לא,10358
על,8346
זה,5888
הוא,4897
גם,4844
אני,4721
אם,3395
יש,3374
היא,2851
עם,2732
כל,2704
או,2430
היה,2412
אבל,2254
מה,2225
יותר,2092
אין,1928
לי,1927
למחוק,1870
הערך,1729
רק,1704
זו,1702
כך,1518
כי,1503
האם,1443
צריך,1432
זאת,1359
אתה,1357
הם,1355
אפשר,1353
ב,1327
אותו,1311
בין,1284
כמו,1279
אחד,1200
שם,1186
לאחר,1178
ערך,1171
ולא,1132
עוד,1131
להיות,1106
הזה,1041
בכל,1040
שלא,1009
עד,1006
אז,1001
כן,992
כדי,952
אך,942
לו,920
כבר,918
לך,902
בערך,899
היו,897
ל,888
ג,883
שיש,882
כאן,877
אולי,867
הייתה,865
למצוא,849
קישורים,838
ישראל,830
חיצוניים,825
שלי,824
יכול,820
פחות,819
חושב,807
ניתן,801
מאוד,794
כמה,792
שהוא,785
אל,765
אותה,750
בו,734
דבר,711
ידי,708
חשוב,697
לפני,696
שלו,685
מספר,673
אחר,672
שני,652
לגבי,625
בית,619
ויקיפדיה,619
ערכים,618
זמן,609
פה,606
הרבה,605
אף,605
ביותר,604
אחרי,600
קצת,594
נראה,588
לכל,587
רבים,584
באופן,578
ללא,573
לעשות,571
מי,568
יהיה,558
איך,554
למה,553
חלק,549
שזה,549
טוב,546
אלא,545
אחת,542
אלה,521
לפי,513
לערך,511
אותם,501
דרך,499
לדעתי,499
היום,496
ראו,496
שאני,495
עדיין,493
לכתוב,487
אחרים,486
רוצה,486
אינו,477
אנחנו,469
אלו,468
פעם,464
פשוט,463
משהו,462
לה,461
ה,459
בן,459
אחרת,455
הספר,452
הראשון,451
שלך,450
לכך,444
יום,443
שנים,435
שנה,431
להוסיף,431
בה,429
אנשים,429
וגם,428
העולם,428
שוב,426
הברית,423
מקום,422
לנו,421
עכשיו,419
הן,419
כזה,418
במקום,416
אדם,416
בדף,415
בלי,412
לכן,411
מידע,406
חשיבות,405
באתר,404
ואני,403
העיר,401
חיים,400
חדש,397
בנושא,396
יודע,395
אותי,393
אי,392
להם,390
עליו,389
תמיד,388
בבית,383
כ,380
שום,376
מדובר,376
המשפט,373
בישראל,372
דברים,371
ההצעה,370
פי,369
שלה,367
נגד,367
מן,366
לראות,359
אפילו,359
בני,358
כאשר,357
מדי,355
איזה,353
ר,353
עצמו,351
גדול,350
באמת,348
שתי,347
מבחינה,346
חדשים,345
בדיוק,343
נכון,342
שאין,341
ממש,339
כלל,337
הייתי,337
במהלך,336
דף,335
רב,331
שהיא,330
הזו,330
קשה,329
בלבד,329
השיחה,329
הרב,328
שאתה,327
י,326
צ,324
למשל,324
הראשונה,324
אינה,323
כמובן,322
מספיק,320
כפי,319
בעולם,318
כיום,318
תבנית,318
בכלל,316
ואז,316
מכן,316
אגב,316
רבות,312
מישהו,311
המדינה,310
נוסף,309
בנוסף,308
המשחק,308
אתר,308
תוכל,307
שלהם,304
ו,303
שלנו,302
כמעט,301
נמחק,301
א,299
תמונות,299
כדאי,298
ספר,297
הערכים,297
צורך,297
מקרה,297
מדוע,296
חסר,295
ברור,295
ראש,295
שלום,293
שהם,292
בהם,290
הכי,290
התמונה,289
הזמן,288
השני,287
בשם,286
לב,283
והוא,282
במקרה,282
למרות,278
לקבל,278
הכל,278
מ,278
מבחינת,278
זהו,276
שימוש,276
הרי,273
בדרך,272
אשר,272
רוב,272
בעיר,271
ילדים,270
רואה,270
ד,270
אמר,269
ראה,269
התכוונתם,269
מאז,268
מבחינתי,268
מעט,267
נוספים,265
מהם,264
ולכן,263
בארץ,263
צריכה,262
בסדר,262
אומר,262
אולם,261
אכן,260
משחק,260
נמצא,259
די,258
שונים,258
בגלל,257
שהיה,257
הזאת,254
אשמח,254
האלה,252
עדיף,252
לתת,251
דיון,251
באותה,251
כאלה,250
עבור,250
ועוד,249
שצריך,249
לפחות,248
בתוך,248
באמצעות,248
השם,246
ח,246
פרק,246
בעיקר,244
חייב,244
מזה,243
האתר,242
במיוחד,241
קיים,240
חברי,239
אביב,236
להשתמש,234
המשפחה,233
חופשי,233
מכל,232
בסוף,231
מציע,231
תמונה,230
אתם,228
מערכת,227
השנייה,227
בצורה,226
כתוב,226
בזמן,225
שינוי,225
מתוך,225
חשובים,224
עוסק,224
לשם,223
דווקא,223
היתה,223
בכך,222
כרגע,221
עבודה,220
למעשה,220
העברית,220
ניוטון,220
ימים,219
יכולה,219
מקור,218
גדולה,218
בויקיפדיה,218
חבל,217
שיחה,217
כנראה,216
קודם,216
ארצות,216
זכויות,216
כולם,215
וזה,215
לזה,215
במשך,214
איש,214
המידע,214
המלחמה,214
שבו,213
הכנסת,213
שונות,212
לדעת,211
נוספת,211
תחת,210
תודה,210
בעל,210
יחד,210
בעקבות,210
מול,209
הדף,209
ש,208
מבין,208
הדבר,208
ראיתי,208
שלושה,208
ואת,206
מלחמת,206
בעיה,205
אחרות,205
ועל,204
וחצי,204
בקרב,204
חוק,204
אינם,203
העבודה,203
מאד,200
משפחה,200
שלוש,199
ראוי,199
הממשלה,199
הבית,198
סתם,198
דומה,198
אופן,198
החל,197
התבנית,197
מחדש,196
בשביל,196
טובה,196
הדברים,196
להגיע,195
מצד,195
בעלי,195
ויש,194
עושה,194
חומר,194
בשנת,193
הגדול,193
הארץ,193
בוויקיפדיה,193
ואם,192
אצל,192
אנא,192
תוך,191
ככה,191
קשר,191
כתב,191
זכה,191
לבין,190
סיבה,190
רבה,189
הבעיה,189
כולל,189
חייבים,189
באנגלית,189
בראש,188
אליו,188
בעברית,187
נולד,187
קישור,187
החברה,186
בלתי,186
סוף,186
לשנות,186
משנה,186
חוץ,185
עניין,185
שאפשר,185
פירושונים,185
חייו,184
לקרוא,184
לחלוטין,184
ממנו,184
ביום,183
האדם,182
צבא,182
בעבר,181
צריכים,181
חבר,181
הדיון,181
החיים,180
ככל,180
חדשות,180
קטן,179
ע,179
כללי,179
בטוח,178
חצי,178
קצר,178
משפט,178
לאחרונה,177
מעבר,177
ז,177
אותן,176
יהודים,176
בתחום,175
תהיה,175
שכל,174
שמו,174
פרטים,174
האחרון,173
השנים,173
בבקשה,172
השאלה,172
ליצור,171
יצא,170
שמות,170
הגיע,170
ואין,169
יכולים,169
פעמים,169
מנת,168
תשובה,168
דוד,168
חשבתי,167
משתמש,166
להביא,166
נוספות,166
חוסר,165
בשל,165
אנו,165
אבא,164
אנשי,164
התמונות,163
בעוד,162
באותו,162
משרד,162
הבריאות,162
תחילת,162
בסיס,161
נושא,161
חושבים,161
המקום,160
לאור,159
איפה,159
לבית,158
הדרך,158
להבין,158
מעולם,158
כלומר,158
הצבעה,157
לדבר,156
במסגרת,156
הבנתי,155
וכן,155
שגם,154
אמא,154
עבר,154
עליהם,154
שונה,154
שכן,154
פתח,154
השנה,153
הנוכחי,153
לפעמים,152
לכם,152
מאוחר,152
חד,152
חוקי,152
הבחירות,152
מעל,151
בעניין,151
יהודה,151
צבאי,151
אותך,151
האנגלית,151
עלי,151
בת,150
נעשה,150
הילדים,150
הנושא,150
לפתוח,150
תל,150
בהמשך,150
שדה,150
חודשים,149
רוצים,148
הללו,148
יהודי,148
המצב,147
בהחלט,147
ומה,146
עליה,146
חודש,146
כזו,146
כוח,146
ידוע,146
יונה,146
מקווה,145
כעת,145
יוצרים,145
שיהיה,145
חי,144
והיא,144
בעת,144
מנסה,143
בתי,143
מקורות,143
הרשמי,143
מאשר,143
הקהילה,143
הקבוצה,142
הסרט,142
מקובל,141
בירושלים,141
משום,141
שהערך,141
ירושלים,140
הישראלי,140
יורק,140
קצרמר,140
להמשיך,139
כיצד,139
מומחה,139
יצחק,139
מחיקה,139
כאילו,138
צה,138
בזה,137
יהיו,137
אינני,137
צעד,137
