hebrew,count,english_translation,transliteration
את,12395,The,ʾt
של,11078,of,šl
לא,10358,not,lʾ
על,8346,on,ʿl
זה,5888,this,zh
הוא,4897,he,hwʾ
גם,4844,also,gm
אני,4721,I,ʾny
אם,3395,if,ʾm
יש,3374,there is,yš
היא,2851,she,hyʾ
עם,2732,with,ʿm
כל,2704,all,kl
או,2430,or,ʾw
היה,2412,Was,hyh
אבל,2254,but,ʾvl
מה,2225,what,mh
יותר,2092,more,ywtr
אין,1928,nothing,ʾyn
לי,1927,me,ly
למחוק,1870,delete,lmḥwq
הערך,1729,The value,hʿrk
רק,1704,only,rq
זו,1702,this,zw
כך,1518,so,kk
כי,1503,that,ky
האם,1443,Does,hʾm
צריך,1432,must,ṣryk
זאת,1359,this,zʾt
אתה,1357,you,ʾth
הם,1355,they,hm
אפשר,1353,Allow,ʾpšr
ב,1327,on,v
אותו,1311,him,ʾwtw
בין,1284,between,vyn
כמו,1279,like,kmw
אחד,1200,one,ʾḥd
שם,1186,name,šm
לאחר,1178,after,lʾḥr
ערך,1171,value,ʿrk
ולא,1132,And not,wlʾ
עוד,1131,more,ʿwd
להיות,1106,be,lhywt
הזה,1041,this,hzh
בכל,1040,In each,vkl
שלא,1009,Not,šlʾ
עד,1006,to,ʿd
אז,1001,then,ʾz
כן,992,yes,kn
כדי,952,To,kdy
אך,942,but,ʾk
לו,920,him,lw
כבר,918,already,kvr
לך,902,to you,lk
בערך,899,about,vʿrk
היו,897,Were,hyw
ל,888,to,l
ג,883,third,g
שיש,882,marble,šyš
כאן,877,here,kʾn
אולי,867,perhaps,ʾwly
הייתה,865,Was,hyyth
למצוא,849,find,lmṣwʾ
קישורים,838,Links,qyšwrym
ישראל,830,Israel,yšrʾl
חיצוניים,825,External,ḥyṣwnyym
שלי,824,my,šly
יכול,820,Can,ykwl
פחות,819,less,pḥwt
חושב,807,thinking,ḥwšv
ניתן,801,Given,nytn
מאוד,794,very,mʾwd
כמה,792,some,kmh
שהוא,785,That is,šhwʾ
אל,765,to,ʾl
אותה,750,her,ʾwth
בו,734,In it,vw
דבר,711,thing,dvr
ידי,708,By,ydy
חשוב,697,important,ḥšwv
לפני,696,before,lpny
שלו,685,his,šlw
מספר,673,number,mspr
אחר,672,other,ʾḥr
שני,652,other,šny
לגבי,625,As for,lgvy
בית,619,house,vyt
ויקיפדיה,619,Wikipedia,wyqypdyh
ערכים,618,Values,ʿrkym
זמן,609,time,zmn
פה,606,here,ph
הרבה,605,many,hrvh
אף,605,even,ʾp
ביותר,604,most,vywtr
אחרי,600,after,ʾḥry
קצת,594,some,qṣt
נראה,588,visible,nrʾh
לכל,587,per,lkl
רבים,584,many,rvym
באופן,578,In a way,vʾwpn
ללא,573,without,llʾ
לעשות,571,do,lʿšwt
מי,568,who,my
יהיה,558,Will,yhyh
איך,554,how,ʾyk
למה,553,why,lmh
חלק,549,part,ḥlq
שזה,549,That is,šzh
טוב,546,good,ṭwv
אלא,545,but,ʾlʾ
אחת,542,one,ʾḥt
אלה,521,these,ʾlh
לפי,513,according to,lpy
לערך,511,approximately,lʿrk
אותם,501,them,ʾwtm
דרך,499,way,drk
לדעתי,499,in my opinion,ldʿty
היום,496,today,hywm
ראו,496,See,rʾw
שאני,495,That I,šʾny
עדיין,493,Yet,ʿdyyn
לכתוב,487,write,lktwv
אחרים,486,Others,ʾḥrym
רוצה,486,Would like to,rwṣh
אינו,477,Is not,ʾynw
אנחנו,469,we,ʾnḥnw
אלו,468,These,ʾlw
פעם,464,time,pʿm
פשוט,463,simple,pšwṭ
משהו,462,something,mšhw
לה,461,her,lh
ה,459,the,h
בן,459,son,vn
אחרת,455,otherwise,ʾḥrt
הספר,452,The book,hspr
הראשון,451,First,hrʾšwn
שלך,450,your,šlk
לכך,444,This,lkk
יום,443,day,ywm
שנים,435,Years,šnym
שנה,431,year,šnh
להוסיף,431,add,lhwsyp
בה,429,In it,vh
אנשים,429,people,ʾnšym
וגם,428,also,wgm
העולם,428,The world,hʿwlm
שוב,426,again,šwv
הברית,423,Covenant,hvryt
מקום,422,place,mqwm
לנו,421,us,lnw
עכשיו,419,now,ʿkšyw
הן,419,they,hn
כזה,418,such,kzh
במקום,416,instead of,vmqwm
אדם,416,person,ʾdm
בדף,415,On the page,vdp
בלי,412,without,vly
לכן,411,so,lkn
מידע,406,information,mydʿ
חשיבות,405,importance,ḥšyvwt
באתר,404,On the site,vʾtr
ואני,403,And i,wʾny
העיר,401,The city,hʿyr
חיים,400,life,ḥyym
